,name,rating,distance,delivery,pickup,American,Bakeries,Cafes,Chinese,Fast Food,Pizza,Street Vendors
164,Skalka,9.0,2283.1176253603558,1,1,0,0,0,0,0,0,0
165,El Cristo Restaurant,8.0,6933.381945948658,1,1,0,0,0,0,0,0,0
166,Mary's Diner,8.0,4329.434079675479,0,0,0,0,0,0,0,0,0
167,Big Bad Wolf's House of Barbecue,7.0,6594.9257391431665,1,0,0,0,0,0,0,0,0
168,Sagami,9.0,9353.190165449538,1,0,0,0,0,0,0,0,0
169,Butcher & The Burger,8.0,2406.338769849869,1,1,0,0,0,0,1,0,0
170,Gordon Ramsay Burger,7.0,4323.920540127952,0,0,0,0,0,0,0,0,0
171,Terakawa Ramen,9.0,6076.109902790407,1,0,0,0,0,0,0,0,0
172,Aquitaine,8.0,460.585536967327,1,1,0,0,0,0,0,0,0
173,Burger Theory Columbus,7.0,5882.98301375314,0,0,0,0,0,0,1,0,0
174,Chi Burger Babi,10.0,24645.081075147205,1,1,0,0,0,0,1,0,0
175,The Original Square Of Soho,10.0,5266.655848134093,0,0,0,0,0,0,0,1,0
176,Billiard Hoang,9.0,8292.14687245204,0,0,0,0,0,0,0,0,0
177,Hunan Cuisine 湘乡香,10.0,6728.467391547732,1,1,0,0,0,1,0,0,0
178,Condado Tacos,7.0,15270.083237421837,1,0,0,0,0,0,0,0,0
179,Jerk Shack Caribbean Food Truck,10.0,13450.847462847954,1,1,0,0,0,0,0,0,0
180,Joe's Steaks + Soda Shop,9.0,5383.360304291519,1,1,0,0,0,0,0,0,0
181,wa’z,9.0,1218.6783762258026,0,0,0,0,0,0,0,0,0
182,The Slide Bar,9.0,4064.6229277329644,1,1,0,0,0,0,0,0,0
183,Pressed Cafe - Burlington,9.0,19104.284833363163,1,0,0,0,0,0,0,0,0
184,Project: Pizza,8.0,7199.124800004818,1,1,0,0,0,0,0,1,0
185,Community,9.0,8877.343881714847,1,1,1,0,0,0,0,0,0
186,The Kenmore,9.0,1860.6199358234346,1,1,0,0,0,0,0,0,0
187,El Mariachi,8.0,12503.598862031631,1,1,0,0,0,0,0,0,0
188,Little Hong Kong,9.0,17201.45582902461,0,0,0,0,0,1,0,0,0
189,Banditos Bar & Kitchen,7.0,3701.082726861153,1,1,0,0,0,0,0,0,0
190,Three Wheels Noodle,9.0,2697.7635718268234,1,1,0,0,0,0,0,0,0
191,The Bowl,10.0,2990.7055041975923,0,0,0,0,0,0,0,0,0
192,Blue Ribbon Sushi Bar & Grill - Columbus Circle,8.0,6962.67249012649,1,1,0,0,0,0,0,0,0
193,Luke's Lobster Back Bay,8.0,662.8623675513837,1,1,0,0,0,0,0,0,0
194,The Slider House,7.0,2304.3540257772356,1,1,0,0,0,0,1,0,0
195,Hōru Sushi Kitchen,9.0,2589.038941323249,0,0,0,0,0,0,0,0,0
196,Menya Goku By Ramen Wasabi,9.0,6263.7307329132855,1,0,0,0,0,0,0,0,0
197,The Fancy Kernel,10.0,8015.99086018609,1,0,0,0,0,0,0,0,0
198,Village Whiskey,8.0,7398.838351010324,1,1,1,0,0,0,0,0,0
199,Frida’s Oaxacan Cuisine,10.0,3118.0289158378946,0,0,0,0,0,0,0,0,0
200,Cajun Boil Bar,8.0,8760.719340968688,1,1,0,0,0,0,0,0,0
201,Noshery Marketplace,8.0,3805.3080267216683,0,0,0,0,1,0,0,0,0
202,Malelani  Cafe,9.0,8114.177401125151,1,0,0,0,0,0,0,0,0
203,Edley's Bar-B-Que - Sylvan Park,8.0,5847.451071944191,1,1,0,0,0,0,0,0,0
204,Obrycki's Restaurant and Bar,7.0,15623.82058016995,0,0,0,0,0,0,0,0,0
205,Terrene,7.0,2474.4334464488243,1,1,0,0,0,0,0,0,0
206,Hot Poppy,8.0,3726.4886731001566,0,0,0,0,0,0,0,0,0
207,Ceviches by Divino,10.0,7715.579278274763,1,1,0,0,0,0,0,0,0
208,Kaku Latin Food,10.0,1735.6093965768293,1,1,0,0,0,0,0,0,0
209,Juanchi's Burger,8.0,7302.873012971044,1,1,0,0,0,0,1,0,0
210,Aladdin's Eatery - Independence,8.0,8956.758437697179,1,1,0,0,0,0,0,0,0
211,The Pancake Pantry,8.0,2248.7369293601505,1,1,0,0,0,0,0,0,0
212,Jeff & Judes,8.0,964.6078741848306,1,0,0,0,0,0,0,0,0
213,Terakawa Ramen,8.0,8924.41966893156,1,1,0,0,0,0,0,0,0
214,Do Wood Fired,9.0,26017.73097223037,1,0,0,0,0,0,0,1,0
215,Wild Eagle Steak & Saloon - Broadview Heights,6.0,17532.048826219972,0,0,0,0,0,0,0,0,0
216,Cori's DogHouse,9.0,23893.596330044,1,0,0,0,0,0,0,0,0
217,Theory,8.0,4415.9800962907575,1,1,0,0,0,0,0,0,0
218,Lakewood Truck Park,9.0,11910.540797617969,0,0,0,0,0,0,0,0,0
